Human labeller,domain,CMP,privacy_link,privacy_policy_on_hompage,last_updated,,contact_email,contact_number,contact_address,mention_of_childrens_data,childrens_data_collected,mention_of_opt_out,advanced_privacy_controls,specific_tracking_technology,mention_of_generic_tracking_tech
Daniel,https://inhancetechnologies.com,,https://www.inhancetechnologies.com/policies/privacy-policy,TRUE,"43,931.00",1,it@inhancetechnologies.com,,,TRUE,FALSE,TRUE,TRUE,,TRUE
Daniel,https://trinsic.org,,https://trinsic.org/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Daniel,https://jonesplastic.com,,https://jonesplastic.com/privacy-policy,TRUE,"45,366.00",1,contact@jonesplastic.com,,,TRUE,FALSE,FALSE,FALSE,Google Analytics,FALSE
Luca,https://barkharvest.com,,https://www.superiorfarmspet.com/privacy-policy,TRUE,"43,648.00",1,,,,TRUE,FALSE,TRUE,TRUE,"Google Analytics, Google Ads (AdWords), Facebook",TRUE
Luca,https://ihcscorp.com,,https://ihcscorp.com/privacy-policy/,TRUE,"45,189.00",1,,(844) 215-4264,"3700 Commerce Parkway, Miramar, FL 33025",FALSE,N/A,FALSE,TRUE,,FALSE
Luca,https://xriwater.com,,http://xriwater.com/privacy-policy/,TRUE,"43,835.00",1,privacy@xrifq.com,,"303 W. Wall St. Suite 400, Midland, TX 79701",FALSE,N/A,TRUE,TRUE,Google Analytics,TRUE
Luca,https://clickfunnels.com,,https://clickfunnels.com/privacy-policy,TRUE,"45,566.00",1,compliance@clickfunnels.com,,"Legal & Compliance Department, 3443 W. Bavaria Street, Eagle, Idaho 83616",TRUE,TRUE,TRUE,TRUE,Google Analytics,FALSE
Luca,https://decisionlens.com,,https://www.decisionlens.com/privacy-policy,TRUE,,1,info@decisionlens.com,,,FALSE,N/A,FALSE,FALSE,,FALSE
Luca,https://atproperties.com,OneTrust,https://www.atproperties.com/pages/privacy-policy,TRUE,"45,575.00",1,privacy@atproperties.com,,,FALSE,N/A,TRUE,TRUE,,FALSE
Luca,https://afhu.org,CookieYes,https://www.afhu.org/privacy-policy/,TRUE,"43,374.00",1,info@afhu.org,,,TRUE,FALSE,TRUE,TRUE,,TRUE
Luca,https://ai-sys.com,,https://www.ai-sys.com/about-ai/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Luca,https://1800mrrusso.com,,https://1800mrrusso.com/privacy-policy,TRUE,,1,,(973) 887-1334,"27 Eagle Rock Ave., East Hanover, NJ 07936",FALSE,N/A,FALSE,TRUE,,FALSE
Luca,https://mikart.com,,https://www.mikart.com/privacy-policy/,TRUE,,1,info@mikart.com,,"Mikart, LLC, 1750 Chattahoochee Ave, Atlanta, Georgia, USA",FALSE,N/A,FALSE,FALSE,,TRUE
Luca,https://conceptmachine.com,,https://www.conceptmachine.com/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,TRUE,,FALSE
Luca,https://bridgeway.io,CookieYes,http://bridgewayconnects.com/wp-content/uploads/2022/10/Bridgeway-Connects-Privacy-Policy.pdf,TRUE,"44,858.00",1,privacy@bridgeway.io,(877) 694-5229,"Bridgeway Connects, 100 Industry Drive, Pittsburgh, PA 15275",TRUE,TRUE,TRUE,TRUE,Google Analytics,TRUE
Luca,https://authenticrb.com,,https://authenticrb.com/privacy-policy/,TRUE,"45,047.00",1,info@authenticrb.com,,"853 Broadway 16th Floor, New York, NY 10003",TRUE,FALSE,FALSE,FALSE,Google Analytics,TRUE
Luca,https://awaytravel.com,,https://awaytravel.com/privacy-policy,TRUE,"45,407.00",1,privacy@awaytravel.com,(844) 202-2011,"11th Floor Whitefriars Lewis Mead, Bristol, England, United Kingdom, BS1 2NT",TRUE,FALSE,TRUE,TRUE,"Google Analytics, Facebook",TRUE
Luca,https://ccianesthesia.com,,https://ccianesthesia.com/privacy-policy/,TRUE,,1,,,,TRUE,FALSE,FALSE,FALSE,,FALSE
Luca,https://poseida.com,,https://poseida.com/privacy-policy/,TRUE,"44,927.00",1,info@poseida.com,(858) 779-3100,"9390 Towne Centre Drive, Suite 200, San Diego, CA 92121",TRUE,TRUE,TRUE,FALSE,Google Analytics,FALSE
Luca,https://sco.org,,https://sco.org/privacy-policy/,TRUE,,1,coffice@sco.org,(516) 671-1253,,FALSE,N/A,FALSE,FALSE,,FALSE
Luca,https://kwalu.com,Cookie Notice,https://www.kwalu.com/privacy-policy/,TRUE,,1,,(877) 695-9258,"6160 Peachtree Dunwoody Rd, Building C, Atlanta GA 30328",FALSE,N/A,FALSE,TRUE,,FALSE
Luca,https://nvp.com,CookieYes,https://nvp.com/privacy-policy/,TRUE,"44,998.00",1,,(650) 321-8000,"1300 El Camino Real, Suite 200, Menlo Park, CA 94025",TRUE,FALSE,TRUE,TRUE,,TRUE
Luca,https://sweepingcorp.com,,https://sweepingcorp.com/privacy-policy/,TRUE,"45,183.00",1,,,,TRUE,FALSE,TRUE,TRUE,"Google Analytics, Google Ads (AdWords), Facebook",TRUE
Luca,https://guideone.com,,https://guideone.com/about-us/privacy-policy,TRUE,"43,586.00",1,LegalWorkRequests@guideone.com,(877) 448-4331,"1111 Ashworth Road, West Des Moines, IA 50265-3538",TRUE,FALSE,TRUE,TRUE,Google Analytics,FALSE
Luca,https://hillcountrydairies.com,,https://hillcountrydairies.com/privacy-policy,TRUE,"43,252.00",1,info@hillcountrydairies.com,(512) 836-6123,"912 Kramer Lane, Austin, TX 78758",TRUE,FALSE,FALSE,FALSE,,FALSE
Luca,https://astronautics.com,,https://astronautics.com/privacy-policy/,TRUE,,1,communications@astronautics.com,,"135 W Forest Hill Avenue, Oak Creek, WI 53154",FALSE,N/A,FALSE,FALSE,,FALSE
Luca,https://pipingrockclub.org,,https://pipingrockclub.org/web/pages/privacy-policy,TRUE,,1,prcinfo@pipingrockclub.org,(516) 676-2332,,FALSE,N/A,FALSE,TRUE,,FALSE
Luca,https://scotchplywood.com,,https://www.scotchplywood.com/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,TRUE,,FALSE
Luca,https://majesticsteel.com,,https://www.majesticsteel.com/privacy-policy/,TRUE,"41,474.00",1,,(800) 321-5590,"31099 Chagrin Blvd., Suite 150, Cleveland, Ohio 44124",TRUE,FALSE,FALSE,FALSE,,FALSE
Luca,https://macdonaldcody.com,,https://www.macdonaldcody.com/privacy-policy/,TRUE,"45,362.00",1,jfitzgerald@macdonaldcody.com,(714) 938-5748,"3400 Central Avenue, Suite 300, Riverside, California 92506",TRUE,TRUE,TRUE,TRUE,,TRUE
Luca,https://vcsedu.org,,https://vcsedu.org/privacy-policy-link,TRUE,,1,,,,TRUE,TRUE,FALSE,FALSE,Google Analytics,FALSE
Luca,https://hortonww.com,,https://www.hortonww.com/privacy-policy/,TRUE,"43,830.00",1,info@hortonww.com,1 (800) 621-1320,,TRUE,FALSE,TRUE,TRUE,,FALSE
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
Mike,,,,,,,,,,,,,,,
